Date,Open,High,Low,Close,Adj Close,Volume
2023-12-01,76.58000183105469,80.26000213623047,74.5,79.83000183105469,79.83000183105469,3952300
2023-12-04,79.55999755859375,80.7300033569336,77.66000366210938,79.87000274658203,79.87000274658203,3172000
2023-12-05,78.30000305175781,79.71900177001953,77.69999694824219,78.27999877929688,78.27999877929688,2160100
2023-12-06,78.97000122070312,84.12000274658203,77.63999938964844,80.5999984741211,80.5999984741211,4404700
2023-12-07,80.48999786376953,80.52999877929688,77.4000015258789,79.94999694824219,79.94999694824219,3477600
2023-12-08,79.16000366210938,81.81999969482422,78.76000213623047,80.31999969482422,80.31999969482422,2930900
2023-12-11,79.94000244140625,82.55999755859375,79.7699966430664,82.0,82.0,3858600
2023-12-12,81.23999786376953,81.38999938964844,76.41000366210938,78.04000091552734,78.04000091552734,5207900
2023-12-13,76.0,78.72000122070312,73.25,78.5999984741211,78.5999984741211,7960500
2023-12-14,88.47000122070312,94.93000030517578,83.7300033569336,85.87000274658203,85.87000274658203,22300200
2023-12-15,87.02999877929688,89.52999877929688,85.4000015258789,86.01000213623047,86.01000213623047,12732200
2023-12-18,85.87000274658203,86.80000305175781,83.5999984741211,85.41999816894531,85.41999816894531,5815300
2023-12-19,86.41000366210938,89.29499816894531,84.80000305175781,89.08999633789062,89.08999633789062,5932000
2023-12-20,88.93000030517578,90.18000030517578,86.12000274658203,86.19000244140625,86.19000244140625,4503400
2023-12-21,87.5,92.38500213623047,86.68000030517578,91.16000366210938,91.16000366210938,5337100
2023-12-22,92.0,96.48999786376953,91.94999694824219,94.88999938964844,94.88999938964844,6170000
2023-12-26,96.38999938964844,97.7699966430664,94.34200286865234,97.33000183105469,97.33000183105469,3852800
2023-12-27,98.47000122070312,100.9800033569336,97.36299896240234,100.7300033569336,100.7300033569336,5413100
2023-12-28,101.5999984741211,102.94999694824219,97.91000366210938,98.79000091552734,98.79000091552734,4561900
2023-12-29,98.61000061035156,100.80000305175781,98.0199966430664,99.44999694824219,99.44999694824219,5202900
2024-01-02,99.87999725341797,115.68000030517578,99.4000015258789,112.5,112.5,14530200
2024-01-03,112.51000213623047,112.66999816894531,107.58000183105469,108.58000183105469,108.58000183105469,8351000
2024-01-04,109.01000213623047,109.41000366210938,105.51000213623047,108.66000366210938,108.66000366210938,6284600
2024-01-05,107.7699966430664,115.80999755859375,106.5,111.12000274658203,111.12000274658203,9209600
2024-01-08,111.47000122070312,115.97000122070312,108.62000274658203,115.44000244140625,115.44000244140625,6011800
2024-01-09,113.87999725341797,114.25,108.875,110.18000030517578,110.18000030517578,5099100
2024-01-10,110.0,110.01000213623047,106.6500015258789,109.45999908447266,109.45999908447266,4082700
2024-01-11,108.61000061035156,108.61000061035156,105.52999877929688,106.79499816894531,106.79499816894531,4015900
2024-01-12,107.0,110.80000305175781,105.87999725341797,105.94999694824219,105.94999694824219,3869000
2024-01-16,104.30999755859375,104.30999755859375,97.5199966430664,102.16000366210938,102.16000366210938,5930200
2024-01-17,98.30000305175781,101.48999786376953,97.61000061035156,100.3499984741211,100.3499984741211,4584900
2024-01-18,100.01000213623047,100.01000213623047,96.6500015258789,99.06999969482422,99.06999969482422,3781800
2024-01-19,98.43000030517578,100.44000244140625,97.08000183105469,99.69999694824219,99.69999694824219,3732000
